,Country,Total_Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Tot Death/1M pop,Total Tests,Tests/1M Pop,Population
USA,USA,"50,705,257",,"817,326 ",,"39,951,693",,"9,936,238","14,839","151,904","2,449","772,474,927","2,314,205",
India,India,"34,682,614",,"474,875 ",,"34,105,066",,"102,673","8,944","24,782",339,"651,950,127","465,834",
Brazil,Brazil,"22,184,824",,"616,733 ",,"21,407,699",,"160,392","8,318","103,313","2,872","63,776,166","297,000",
UK,UK,"10,719,165",,"146,255 ",,"9,414,117",,"1,158,793",900,"156,714","2,138","374,468,898","5,474,735",
Russia,Russia,"9,956,679",,"287,180 ",,"8,673,518",,"995,981","2,300","68,185","1,967","230,400,000","1,577,816",
Turkey,Turkey,"9,002,968",,"78,778 ",,"8,568,914",,"355,276","1,128","105,119",920,"111,213,349","1,298,537",
France,France,"8,105,785",,"120,168 ",,"7,275,054","+22,678","710,563","2,461","123,787","1,835","170,480,237","2,603,487",
Germany,Germany,"6,463,737",,"105,931 ",,"5,329,300",,"1,028,506","4,636","76,794","1,259","87,852,398","1,043,753",
Iran,Iran,"6,150,843",,"130,603 ",,"5,957,017",,"63,223","3,154","71,906","1,527","39,846,085","465,819",
Argentina,Argentina,"5,354,440",,"116,748 ",,"5,211,264",,"26,428",706,"116,928","2,549","26,619,622","581,307",
Spain,Spain,"5,290,190",,"88,381 ",,"4,943,735",,"258,074","1,056","113,084","1,889","66,213,858","1,415,405",
Italy,Italy,"5,185,270",,"134,669 ",,"4,787,453",,"263,148",816,"85,943","2,232","124,925,626","2,070,576",
Colombia,Colombia,"5,089,695",,"129,011 ",,"4,930,529",,"30,155",342,"98,516","2,497","28,559,483","552,799",
Indonesia,Indonesia,"4,258,752",,"143,923 ",,"4,109,675",,"5,154",,"15,337",518,"57,596,611","207,416",
Mexico,Mexico,"3,914,706","+2,992","296,385 ",+199,"3,269,036","+2,071","349,285","4,798","29,910","2,265","12,046,280","92,039",
Poland,Poland,"3,785,036",,"87,928 ",,"3,237,017",,"460,091","2,070","100,168","2,327","25,430,252","672,991",
Ukraine,Ukraine,"3,543,684",,"90,343 ",,"3,158,426",,"294,915",177,"81,736","2,084","16,234,638","374,456",
South Africa,South Africa,"3,112,469",,"90,080 ",,"2,878,855",,"143,534",546,"51,544","1,492","20,071,560","332,395",
Netherlands,Netherlands,"2,846,126",,"20,004 ",,"2,216,740",,"609,382",651,"165,574","1,164","19,205,114","1,117,260",
Philippines,Philippines,"2,836,200",,"49,961 ",,"2,774,334",,"11,905",899,"25,396",447,"24,522,686","219,581",
Malaysia,Malaysia,"2,683,523",,"30,831 ",,"2,591,819",,"60,873",393,"81,411",935,"39,027,002","1,183,976",
Czechia,Czechia,"2,312,736",,"34,242 ",,"1,981,792",,"296,702","1,086","215,387","3,189","45,289,898","4,217,882",
Peru,Peru,"2,251,027",,"201,650 ",,N/A,N/A,N/A,993,"66,930","5,996","20,753,581","617,067",
Thailand,Thailand,"2,164,859","+4,079","21,149 ",+39,"2,090,253","+7,302","53,457","1,369","30,904",302,"14,913,135","212,886",
Iraq,Iraq,"2,087,247",,"23,959 ",,"2,054,081",,"9,207",84,"50,271",577,"16,527,739","398,069",
Belgium,Belgium,"1,914,527",,"27,463 ",,"1,411,414",,"475,650",825,"164,164","2,355","25,683,360","2,202,265",
Canada,Canada,"1,827,318",,"29,897 ",,"1,764,510",,"32,911",469,"47,812",782,"49,711,113","1,300,709",
Romania,Romania,"1,791,502",,"57,531 ",,"1,711,942",,"22,029",706,"94,028","3,020","16,357,744","858,548",
Chile,Chile,"1,779,865",,"38,638 ",,"1,676,714",,"64,513",682,"91,971","1,997","26,225,407","1,355,150",
Japan,Japan,"1,728,410",,"18,371 ",,"1,709,126",,913,27,"13,726",146,"28,364,634","225,261",
Bangladesh,Bangladesh,"1,578,819",,"28,017 ",,"1,543,740",,"7,062","1,369","9,451",168,"11,082,954","66,345",
Vietnam,Vietnam,"1,382,272",,"27,402 ",,"1,052,341",,"302,529","7,681","14,019",278,"70,692,311","716,966",
Israel,Israel,"1,349,385",,"8,210 ",,"1,335,236",,"5,939",92,"144,691",880,"35,924,740","3,852,106","9,326,000 "
Pakistan,Pakistan,"1,288,366",,"28,812 ",,"1,250,069",,"9,485",758,"5,674",127,"22,428,325","98,777",
Serbia,Serbia,"1,271,794",,"12,113 ",,"1,223,753",,"35,928",187,"146,408","1,394","6,955,451","800,704",
Sweden,Sweden,"1,229,217",,"15,158 ",,"1,166,352",,"47,707",48,"120,631","1,488","13,934,770","1,367,504",
Austria,Austria,"1,221,095",,"13,076 ",,"1,129,438",,"78,581",598,"134,476","1,440","114,403,886","12,599,013",
Portugal,Portugal,"1,185,036",,"18,626 ",,"1,101,911",,"64,499",137,"116,708","1,834","22,443,244","2,210,312",
Hungary,Hungary,"1,182,922",,"36,429 ",,"968,897",,"177,596",573,"122,901","3,785","8,768,881","911,051",
Switzerland,Switzerland,"1,106,573",,"11,783 ",,"887,573",,"207,217",273,"126,527","1,347","13,030,943","1,489,977",
Jordan,Jordan,"1,003,428",,"11,917 ",,"924,702",,"66,809","1,218","96,960","1,152","12,619,199","1,219,374",
Greece,Greece,"994,901",,"19,085 ",,"905,524",,"70,292",702,"96,128","1,844","40,028,300","3,867,577",
Kazakhstan,Kazakhstan,"978,362",,"12,828 ",,"946,451",,"19,083",528,"51,223",672,"11,575,012","606,025",
Cuba,Cuba,"963,493",,"8,311 ",,"954,741",,441,15,"85,139",734,"11,289,974","997,642",
Morocco,Morocco,"951,267",,"14,795 ",,"934,373",,"2,099",347,"25,340",394,"10,547,914","280,977",
Georgia,Georgia,"882,822",,"12,631 ",,"825,442",,"44,749",,"221,918","3,175","12,040,027","3,026,549",
Nepal,Nepal,"823,786",,"11,552 ",,"806,237",,"5,997",114,"27,560",386,"4,702,838","157,336",
Slovakia,Slovakia,"764,112",,"15,236 ",,"635,998",,"112,878",605,"139,859","2,789","4,825,139","883,167",
UAE,UAE,"742,641",,"2,151 ",,"737,749",,"2,741",,"73,804",214,"104,174,110","10,352,857",
Tunisia,Tunisia,"719,247",,"25,419 ",,"692,463",,"1,365",50,"59,954","2,119","3,220,850","268,480",
Bulgaria,Bulgaria,"713,083",,"29,459 ",,"586,208",,"97,416",628,"103,750","4,286","6,866,448","999,034",
Lebanon,Lebanon,"686,725",,"8,824 ",,"638,964",,"38,937",186,"101,266","1,301","4,795,578","707,165",
Belarus,Belarus,"671,432",,"5,245 ",,"661,296",,"4,891",,"71,090",555,"10,626,257","1,125,085",
Croatia,Croatia,"648,003",,"11,516 ",,"609,663",,"26,824",326,"159,262","2,830","3,559,322","874,786",
Guatemala,Guatemala,"621,844",,"16,029 ",,"604,817",,998,5,"33,810",872,"3,180,830","172,945",
Ireland,Ireland,"614,952",,"5,788 ",,"475,058",,"134,106",110,"122,570","1,154","9,313,992","1,856,427",
Azerbaijan,Azerbaijan,"602,137",,"8,055 ",,"573,034",,"21,048",,"58,627",784,"5,655,385","550,632",
Sri Lanka,Sri Lanka,"571,426",,"14,573 ",,"544,200",,"12,653",,"26,525",676,"5,726,599","265,828",
Costa Rica,Costa Rica,"567,995",,"7,332 ",,"558,639",,"2,024",64,"110,054","1,421","2,839,020","550,083",
Saudi Arabia,Saudi Arabia,"550,136",,"8,851 ",,"539,338",,"1,947",29,"15,456",249,"31,908,463","896,462",
Bolivia,Bolivia,"549,638",,"19,281 ",,"501,698",,"28,659",220,"46,180","1,620","2,593,083","217,868",
Denmark,Denmark,"542,794",,"2,996 ",,"467,897",,"71,901",65,"93,238",515,"97,849,184","16,808,029",
Ecuador,Ecuador,"530,865",,"33,498 ",,"443,880",,"53,487",759,"29,446","1,858","2,053,558","113,907",
Myanmar,Myanmar,"526,024",,"19,170 ",,"502,325",,"4,529",,"9,575",349,"5,766,977","104,978",
S. Korea,S. Korea,"510,583","+6,977","4,210 ",+80,"429,256","+2,815","77,117",856,"9,947",82,"15,804,065","307,875",
Lithuania,Lithuania,"487,953",,"6,933 ",,"452,749",,"28,271",121,"182,922","2,599","6,324,027","2,370,723",
Panama,Panama,"480,217",,"7,385 ",,"469,905",,"2,927",14,"108,832","1,674","4,296,722","973,769",
Paraguay,Paraguay,"463,650",,"16,500 ",,"446,487",,663,55,"63,876","2,273","1,975,521","272,163",
Slovenia,Slovenia,"437,689",,"5,384 ",,"408,339",,"23,966",242,"210,493","2,589","1,988,559","956,337",
Venezuela,Venezuela,"437,113",,"5,229 ",,"424,783",,"7,101",681,"15,435",185,"3,359,014","118,610",
Palestine,Palestine,"433,547",,"4,568 ",,"425,257",,"3,722",55,"82,238",866,"2,776,809","526,724",
Kuwait,Kuwait,"413,637",,"2,466 ",,"410,835",,336,3,"94,840",565,"5,531,858","1,268,360",
Dominican Republic,Dominican Republic,"409,862",,"4,218 ",,"403,895",,"1,749",116,"37,245",383,"2,496,351","226,849",
Uruguay,Uruguay,"402,149",,"6,141 ",,"393,681",,"2,327",15,"115,194","1,759","4,195,353","1,201,740",
Mongolia,Mongolia,"384,912",,"2,028 ",,"313,256",,"69,628",192,"114,754",605,"4,030,048","1,201,484",
Honduras,Honduras,"378,561",+14,"10,421 ",+2,"122,591",+21,"245,549",51,"37,366","1,029","1,126,954","111,236",
Libya,Libya,"377,450",,"5,540 ",,"362,177",,"9,733",,"53,877",791,"1,946,252","277,809",
Ethiopia,Ethiopia,"372,868",,"6,822 ",,"350,191",,"15,855",169,"3,132",57,"3,924,351","32,962",
Moldova,Moldova,"369,013",,"9,333 ",,"353,011",,"6,669",234,"91,784","2,321","2,241,776","557,592",
Egypt,Egypt,"367,456",,"20,966 ",,"305,652",,"40,838",90,"3,496",199,"3,693,367","35,138",
Armenia,Armenia,"342,115",,"7,767 ",,"324,224",,"10,124",,"115,143","2,614","2,433,927","819,168",
Norway,Norway,"310,781",,"1,136 ",,"88,952",,"220,693",108,"56,688",207,"8,837,513","1,612,019",
Oman,Oman,"304,679",,"4,113 ",,"300,066",,500,1,"57,560",777,"25,000,000","4,723,011",
Bosnia and Herzegovina,Bosnia and Herzegovina,"280,980",,"12,918 ",,"192,218",,"75,844",,"86,418","3,973","1,426,356","438,687",
Bahrain,Bahrain,"277,997",,"1,394 ",,"276,292",,311,1,"155,613",780,"7,588,957","4,248,023",
Singapore,Singapore,"272,433",,783 ,,"265,242",,"6,408",40,"46,046",132,"21,098,774","3,566,045",
Latvia,Latvia,"260,658",,"4,360 ",,"246,049",,"10,249",113,"140,429","2,349","5,433,502","2,927,297",
Kenya,Kenya,"255,932",,"5,342 ",,"248,488",,"2,102",2,"4,614",96,"2,879,290","51,904",
Qatar,Qatar,"245,030",,612 ,,"242,081",,"2,337",13,"87,267",218,"3,050,843","1,086,558","2,807,805 "
Estonia,Estonia,"227,446",,"1,845 ",,"211,800",,"13,801",25,"171,293","1,389","2,391,506","1,801,077",
Australia,Australia,"227,381","+1,741","2,100 ",+16,"208,521",,"16,760",95,"8,771",81,"49,827,551","1,921,941",
North Macedonia,North Macedonia,"218,723",,"7,710 ",,"205,393",,"5,620",,"104,991","3,701","1,496,479","718,338",
Nigeria,Nigeria,"216,451",,"2,981 ",,"207,661",,"5,809",11,"1,014",14,"3,629,527","17,002",
Algeria,Algeria,"212,434",,"6,132 ",,"146,006",,"60,296",19,"4,722",136,"230,861","5,131",
Zambia,Zambia,"210,724",,"3,668 ",,"206,546",,510,23,"11,019",192,"2,769,654","144,830",
Albania,Albania,"203,215",,"3,130 ",,"194,452",,"5,633",23,"70,726","1,089","1,416,414","492,962",
Finland,Finland,"201,051",,"1,421 ",,"46,000",,"153,630",54,"36,205",256,"8,150,123","1,467,667",
Botswana,Botswana,"196,090",,"2,421 ",,"192,452",,"1,217",1,"81,033","1,000","1,929,047","797,163",
Uzbekistan,Uzbekistan,"195,246",,"1,430 ",,"191,976",,"1,840",23,"5,714",42,"1,377,915","40,329",
Kyrgyzstan,Kyrgyzstan,"183,863",,"2,766 ",,"178,905",,"2,192",131,"27,528",414,"1,861,786","278,752",
Montenegro,Montenegro,"159,433",,"2,347 ",,"154,887",,"2,199",60,"253,801","3,736","923,783","1,470,571",
Afghanistan,Afghanistan,"157,601",,"7,322 ",,"141,501",,"8,778","1,124","3,922",182,"801,763","19,950",
Zimbabwe,Zimbabwe,"155,817",,"4,723 ",,"129,136",,"21,958",12,"10,269",311,"1,670,441","110,084",
Mozambique,Mozambique,"152,965",,"1,942 ",,"149,943",,"1,080",8,"4,705",60,"997,829","30,690",
Cyprus,Cyprus,"140,030",,607 ,,"124,370",,"15,053",44,"114,778",498,"9,477,138","7,768,069",
Ghana,Ghana,"131,246",,"1,228 ",,"129,326",,692,5,"4,101",38,"1,933,408","60,409",
Namibia,Namibia,"131,230",,"3,575 ",,"125,846",,"1,809",3,"50,336","1,371","810,348","310,826",
Uganda,Uganda,"127,877",,"3,265 ",,"97,739",,"26,873",100,"2,674",68,"2,008,652","42,009",
Cambodia,Cambodia,"120,327",,"2,978 ",,"116,680",,669,,"7,057",175,"2,725,832","159,855",
El Salvador,El Salvador,"119,803",,"3,792 ",,"102,982",,"13,029",246,"18,337",580,"1,440,742","220,522",
Cameroon,Cameroon,"107,549",,"1,823 ",,"102,716",,"3,010",152,"3,912",66,"1,751,774","63,712",
Rwanda,Rwanda,"100,556",,"1,344 ",,"45,522",,"53,690",1,"7,497",100,"3,613,786","269,413",
Luxembourg,Luxembourg,"93,429",,890 ,,"86,920",,"5,619",23,"145,840","1,389","3,735,071","5,830,346",
Maldives,Maldives,"92,846",,256 ,,"90,776",,"1,814",23,"167,521",462,"1,790,773","3,231,072",
Jamaica,Jamaica,"91,652",,"2,418 ",,"63,358",,"25,876",6,"30,758",811,"680,642","228,420",
Laos,Laos,"86,148",,231 ,,"7,339",,"78,578",,"11,599",31,"848,756","114,273",
Trinidad and Tobago,Trinidad and Tobago,"79,237",,"2,361 ",,"63,010",,"13,866",22,"56,356","1,679","470,218","334,433",
Senegal,Senegal,"74,065",,"1,886 ",,"72,133",,46,2,"4,262",109,"887,279","51,058",
Angola,Angola,"65,371",,"1,737 ",,"63,417",,217,3,"1,904",51,"1,192,540","34,733",
Réunion,Réunion,"63,863",,391 ,,"59,685",,"3,787",34,"70,605",432,"1,347,378","1,489,622",
Malawi,Malawi,"62,147",,"2,307 ",,"58,852",,988,67,"3,132",116,"449,549","22,659",
Ivory Coast,Ivory Coast,"61,882",,706 ,,"60,946",,230,,"2,265",26,"1,172,127","42,909",
DRC,DRC,"59,851",,"1,118 ",,"50,930",,"7,803",,640,12,"306,299","3,277",
Guadeloupe,Guadeloupe,"55,284",,748 ,,"2,250",,"52,286",23,"138,133","1,869","551,264","1,377,392",
Fiji,Fiji,"52,577",,697 ,,"51,157",,723,,"58,045",769,"465,125","513,499",
Eswatini,Eswatini,"51,172",,"1,248 ",,"45,409",,"4,515",11,"43,460","1,060","401,183","340,721",
Suriname,Suriname,"51,167",+18,"1,176 ",,"29,584",,"20,407",11,"86,111","1,979","163,252","274,743",
Syria,Syria,"49,101",,"2,804 ",,"30,276",,"16,021",,"2,711",155,"113,162","6,248",
French Guiana,French Guiana,"46,421",,332 ,,"11,254",,"34,835",5,"149,839","1,072","462,858","1,494,030",
French Polynesia,French Polynesia,"46,334",,636 ,,N/A,N/A,N/A,7,"163,582","2,245",,,
Martinique,Martinique,"45,501",,718 ,,104,,"44,679",1,"121,386","1,915","416,247","1,110,448",
Madagascar,Madagascar,"44,800",,972 ,,"43,119",,709,22,"1,560",34,"290,447","10,115",
Sudan,Sudan,"44,529",,"3,208 ",,"36,009",,"5,312",,983,71,"238,579","5,264",
Malta,Malta,"40,357",,470 ,,"38,111",,"1,776",3,"91,051","1,060","1,211,456","2,733,208",
Mauritania,Mauritania,"39,742",,848 ,,"38,284",,610,15,"8,236",176,"523,887","108,572",
Cabo Verde,Cabo Verde,"38,489",,351 ,,"38,009",,129,23,"68,161",622,"211,166","373,958",
Guyana,Guyana,"38,453",,"1,016 ",,"36,634",,803,14,"48,551","1,283","402,981","508,803",
Gabon,Gabon,"37,551",,281 ,,"33,761",,"3,509",7,"16,318",122,"1,418,104","616,243",
Papua New Guinea,Papua New Guinea,"35,835",,573 ,,"34,917",,345,7,"3,899",62,"249,149","27,109",
Belize,Belize,"31,033",,586 ,,"29,609",,838,10,"76,060","1,436","361,427","885,833",
Guinea,Guinea,"30,798",,388 ,,"29,753",,657,49,"2,257",28,"569,940","41,771",
Barbados,Barbados,"26,668",,249 ,,"24,064",,"2,355",,"92,635",865,"448,856","1,559,167",
Togo,Togo,"26,372",,243 ,,"25,937",,192,,"3,082",28,"589,871","68,930",
Tanzania,Tanzania,"26,309",,734 ,,N/A,N/A,N/A,7,423,12,,,
Haiti,Haiti,"25,744",,758 ,,"22,028",,"2,958",,"2,219",65,"132,422","11,413",
Benin,Benin,"24,897",,161 ,,"24,546",,190,5,"1,979",13,"604,310","48,040",
Seychelles,Seychelles,"23,806",,129 ,,"23,294",,383,,"239,922","1,300",,,
Somalia,Somalia,"23,074",,"1,333 ",,"12,817",,"8,924",,"1,396",81,"262,138","15,858",
Bahamas,Bahamas,"22,881",,708 ,,"21,656",,517,4,"57,396","1,776","172,649","433,082",
Mauritius,Mauritius,"22,461",,680 ,,"20,781",,"1,000",,"17,619",533,"358,675","281,356",
Lesotho,Lesotho,"22,448",,664 ,,"13,849",,"7,935",,"10,360",306,"269,476","124,372",
Mayotte,Mayotte,"21,088",,185 ,,"2,964",,"17,939",,"74,708",655,"176,919","626,763",
Burundi,Burundi,"20,610",,38 ,,773,,"19,799",,"1,662",3,"345,742","27,884",
Channel Islands,Channel Islands,"20,327",,107 ,,"18,136",,"2,084",,"115,383",607,"1,092,362","6,200,613",
Timor-Leste,Timor-Leste,"19,829",,122 ,,"19,702",,5,,"14,639",90,"211,166","155,894",
Andorra,Andorra,"19,440",,133 ,,"16,995",,"2,312",4,"251,023","1,717","204,343","2,638,625",
Iceland,Iceland,"19,159",,35 ,,"17,751",,"1,373",5,"55,625",102,"1,281,041","3,719,296",
Congo,Congo,"19,066",,359  ,,"12,421",,"6,286",,"3,337",63,"188,207","32,942",
Mali,Mali,"18,404",,623 ,,"15,454",,"2,327",,873,30,"503,761","23,888",
Curaçao,Curaçao,"17,560",,182 ,,"17,246",,132,3,"106,386","1,103","349,429","2,116,995",
Nicaragua,Nicaragua,"17,328",,210 ,,"4,225",,"12,893",,"2,572",31,,,
Tajikistan,Tajikistan,"17,095",,124 ,,"16,966",,5,,"1,736",13,,,
Taiwan,Taiwan,"16,721",,848 ,,"15,672",,201,,700,36,"8,654,769","362,445",
Aruba,Aruba,"16,549",,177 ,,"16,173",,199,10,"154,060","1,648","177,885","1,655,992",
Burkina Faso,Burkina Faso,"16,334",,290 ,,"15,604",,440,,752,13,"234,250","10,782",
Brunei ,Brunei ,"15,283",,98 ,,"15,088",,97,1,"34,459",221,"645,285","1,454,957",
Equatorial Guinea,Equatorial Guinea,"13,612",,175 ,,"13,386",,51,1,"9,265",119,"263,190","179,144",
Djibouti,Djibouti,"13,514",,188 ,,"13,298",,28,,"13,398",186,"250,201","248,051",
Saint Lucia,Saint Lucia,"13,086",,283 ,,"12,699",,104,6,"70,798","1,531","102,297","553,450",
South Sudan,South Sudan,"12,873",,133 ,,"12,576",,164,2,"1,131",12,"274,916","24,152",
New Zealand,New Zealand,"12,781",+66,46 ,+2,"6,074",+31,"6,661",40,"2,555",9,"5,226,838","1,044,929","5,002,100 "
Hong Kong,Hong Kong,"12,483",,213 ,,"12,159",,111,,"1,646",28,"28,539,548","3,762,861",
Isle of Man,Isle of Man,"12,441",,67 ,,"11,478",,896,1,"145,201",782,"133,676","1,560,159",
New Caledonia,New Caledonia,"12,358",,280 ,,"11,882",,196,8,"42,695",967,"42,756","147,716",
CAR,CAR,"11,912",,101 ,,"6,859",,"4,952",2,"2,406",20,"60,228","12,166",
Yemen,Yemen,"10,056",,"1,962 ",,"6,938",,"1,156",23,327,64,"265,253","8,620",
Gambia,Gambia,"9,998",,342 ,,"9,641",,15,1,"3,977",136,"125,971","50,104",
Cayman Islands,Cayman Islands,"7,839",,9 ,,"4,339",,"3,491",14,"117,292",135,"211,943","3,171,233",
Eritrea,Eritrea,"7,616",,63 ,,"7,369",,184,,"2,106",17,"23,693","6,550",
Gibraltar,Gibraltar,"7,485",,100 ,,"7,102",,283,,"222,259","2,969","426,643","12,668,676",
Niger,Niger,"7,149",,267 ,,"6,805",,77,2,281,10,"194,647","7,644",
Guinea-Bissau,Guinea-Bissau,"6,447",,149 ,,"6,281",,17,,"3,168",73,"108,549","53,345",
Sierra Leone,Sierra Leone,"6,421",,121 ,,N/A,N/A,N/A,,782,15,"160,729","19,577",
Dominica,Dominica,"6,233",,42 ,,"5,768",,423,,"86,278",581,"114,250","1,581,468",
San Marino,San Marino,"6,217",,94 ,,"5,772",,351,3,"182,670","2,762","93,080","2,734,912",
Grenada,Grenada,"5,913",,200 ,,"5,651",,62,2,"52,201","1,766","88,750","783,498",
Liberia,Liberia,"5,833",,287 ,,"5,535",,11,2,"1,116",55,"128,246","24,528",
Bermuda,Bermuda,"5,764",,106 ,,"5,634",,24,,"93,047","1,711","660,179","10,657,159",
Chad,Chad,"5,701",,181 ,,"4,874",,646,,333,11,"157,235","9,194",
St. Vincent Grenadines,St. Vincent Grenadines,"5,692",,77 ,,"5,111",,504,7,"51,074",691,"91,554","821,503",
Liechtenstein,Liechtenstein,"5,222",,67 ,,"4,772",,383,11,"136,395","1,750","80,413","2,100,324",
Sint Maarten,Sint Maarten,"4,628",,75 ,,"4,520",,33,10,"106,205","1,721","62,056","1,424,087",
Comoros,Comoros,"4,560",,151 ,,"4,366",,43,,"5,088",168,,,
Faeroe Islands,Faeroe Islands,"4,275",,13 ,,"3,737",,525,7,"87,014",265,"591,000","12,029,310",
Antigua and Barbuda,Antigua and Barbuda,"4,159",,117 ,,"4,025",,17,1,"41,969","1,181","18,195","183,610",
Monaco,Monaco,"4,054",,36 ,,"3,810",,208,1,"102,265",908,"54,960","1,386,408",
Saint Martin,Saint Martin,"3,973",,56 ,,"1,399",,"2,518",7,"100,293","1,414","54,303","1,370,803",
Sao Tome and Principe,Sao Tome and Principe,"3,733",,57 ,,"3,675",,1,,"16,590",253,"14,934","66,370",
Turks and Caicos,Turks and Caicos,"3,119",,25 ,,"3,066",,28,,"79,020",633,"94,789","2,401,485",
Caribbean Netherlands,Caribbean Netherlands,"3,119",,22 ,,"2,939",,158,,"117,370",828,"30,126","1,133,664",
British Virgin Islands,British Virgin Islands,"2,816",,38 ,,N/A,N/A,N/A,7,"92,264","1,245","82,570","2,705,350",
Saint Kitts and Nevis,Saint Kitts and Nevis,"2,795",,28 ,,"2,758",,9,1,"52,009",521,"57,214","1,064,625",
Bhutan,Bhutan,"2,649",,3 ,,"2,626",,20,,"3,380",4,"1,257,972","1,604,894",
Greenland,Greenland,"1,774",, ,,"1,520",,254,2,"31,171",,"119,120","2,093,056",
St. Barth,St. Barth,"1,603",,6 ,,N/A,N/A,N/A,,"161,593",605,"56,491","5,694,657",
Anguilla,Anguilla,"1,523",,4 ,,"1,434",,85,,"100,224",263,"51,382","3,381,285",
207,Diamond Princess,712,,13 ,,699,,0,,,,,, 
Wallis and Futuna,Wallis and Futuna,454,,7 ,,438,,9,,"41,442",639,"20,508","1,872,022",
Saint Pierre Miquelon,Saint Pierre Miquelon,91,, ,,60,,31,,"15,818",,"13,137","2,283,504",
Falkland Islands,Falkland Islands,83,, ,,N/A,N/A,N/A,,"22,890",,"8,316","2,293,436",
Macao,Macao,77,, ,,77,,0,,116,,"5,019","7,581",
Montserrat,Montserrat,44,,1 ,,42,,1,,"8,807",200,"3,037","607,886",
Vatican City,Vatican City,27,, ,,27,,0,,"33,582",,,,
Solomon Islands,Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,328",
Western Sahara,Western Sahara,10,,1 ,,8,,1,,16,2,,,
216,MS Zaandam,9,,2 ,,7,,0,,,,,, 
"18,218",Palau,8,, ,,8,,0,,439,,"14,878","816,665",
Vanuatu,Vanuatu,6,,1 ,,5,,0,,19,3,"23,000","72,450",
Marshall Islands,Marshall Islands,4,, ,,4,,0,,67,,,,
Samoa,Samoa,3,, ,,3,,0,,15,,,,
Saint Helena,Saint Helena,2,, ,,2,,0,,328,,,,
Micronesia,Micronesia,1,, ,,1,,0,,9,,,,
Tonga,Tonga,1,, ,,1,,0,,9,,,,
China,China,"99,517",,"4,636 ",,"93,659",,"1,222",29,69,3,"160,000,000","111,163","1,439,323,776 "
